Semester( number like: 1st, 2nd...);Age( Years: 18, 19....);Height( inches like:1 feet);Weight:( in kg);Gender;Religion;Permanent Residence;Current Residence;Family Type;Number of siblings (numbers: 1, 2...);Father's Occupation;Mother's Occupation;Do you think your family environment is friendly?;Academic performance(CGPA like: 3.5.....);Daily average study hour;Daily social media uses hours;Relationship Status;Smoking status;Do you perform religious practice regularly?;How much satisfied with your academic activities(i,e...Presentations, Assignments, Tutorials..);Do you do any extra curricular activities?;If yes what are that...;Do you feel that in the aspect of career building your subject has adequate opportunity in our country?;Do your think your subject- related job gets enough social value in our country ;Have you ever thought about or attempted to kill yourself?;How often have you thought about killing yourself in the past year?;Have you ever told someone that you were going to commit suicide, or that you might do it?;How likely is it that you will attempt suicide someday?;How SATISFIED/dissatisfied are you with your current sleep pattern?;To what extent do you consider your sleep problem to INTERFERE with your daily functioning (e.g. daytime fatigue, ability to function at work/daily chores, concentration, memory, mood, etc.).;How NOTICEABLE to others do you think your sleeping problem is in terms of impairing the quality of your life?;How WORRIED/distressed are you about your current sleep problem?;I found it hard to wind down;"
 I was aware of the dryness of my mouth";"
I couldn’t seem to experience any positive feelings at all";"
 I experienced breathing difficulty (e.g. excessively rapid breathing, breathlessness in the absence of physical exertion)";"
 I found it difficult to work up the initiative to do things"; I tended to over-react to situations;"
I experienced trembling (e.g. in the hands)";"
I felt that I was using a lot of nervous energy";I was worried about situations in which I might panic and make a fool of myself;I felt that I had nothing to look forward to;I found myself getting agitated; I found it difficult to relax;"
 I felt down-hearted and blue";I was intolerant of anything that kept me from getting on with what I was doing;I felt I was close to panic; I was unable to become enthusiastic about anything; I felt I wasn’t worth much as a person; I felt that I was rather touchy; I was aware of the action of my heart in the absence of physical exertion (e.g. sense of heart rate increase, heart missing a beat); I felt scared without any good reason;I felt that life was meaningless
5th;21;5,6;56;Female;Islam;Urban;Rented House or Mess;Nuclear;1 big sister ;Service Holder;House Wife;Neural;3,1;1-3 hours;7-9 hours;Single;No;Offen;No;No;No;Neutral;Neutral;I have had a plan at least once to kill myself and really wanted to die;Rarely (1 time);Yes, more than once, but did not want to do it;Never;Dissatisfied;Very Much Interfering;Somewhat;Barely;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time
6th;24;5 feet 9 inch;80kg;Male;Islam;Urban;Own House;Nuclear;2;Service Holder;House Wife;Agree;2,85;1-3 hours;1-3 hours;Single;Yes;Offen;yes;yes;Acting ;Agree;Agree;I have attempted to kill myself, and really hoped to die;Rarely (1 time);No;Unlikely;Dissatisfied;A little;Somewhat;Very Much;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all
5th;23;5,4;57kg;Male;Islam;Rural;Rented House or Mess;Nuclear;2;Business;House Wife;Agree;3,63;1-3 hours;4-6 hours;Single;No;Regularly;yes;No;Nothing;Agree;Neutral;Never;Never;No;Never;Satisfied;A little;Not at all Noticeable;Barely;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me very much or most of the time
4th;20;5,4;57;Female;Islam;Urban;Rented House or Mess;Join or Extended;1;Others;House Wife;Agree;3,65;1-3 hours;1-3 hours;Engaged;No;Regularly;yes;yes;Panting ;Dis-agree;Strongly-agree;Never;Rarely (1 time);No;No chance at all;Dissatisfied;Somewhat;Not at all Noticeable;Barely;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Did not apply to me at all;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Applied to me very much or most of the time;Did not apply to me at all
7;21;5,11;75;Male;Islam;Urban;Rented House or Mess;Nuclear;2;Service Holder;Others;Strongly-disagree;3;1-3 hours;1-3 hours;Engaged;No;Offen;No;yes;Art;Strongly_disagree;Strongly-disagree;Never;Never;No;Never;Very Satisfied;Not at all Interfering;Not at all Noticeable;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
5th;22;5,3;54;Male;Islam;Urban;Rented House or Mess;Nuclear;2;Service Holder;Service Holder;Agree;3;1-3 hours;1-3 hours;Single;No;Offen;yes;yes;Technical and project manager in KISENTH (Charity hospital), hult prize, CEO of Elysian Elegance (clothing business), CEO of Decolux (home decor product);Strongly_disagree;Agree;Never;Never;No;Never;Satisfied;Not at all Interfering;Not at all Noticeable;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
12;25;5,6;71;Male;Islam;Rural;Hall;Nuclear;2;Service Holder;House Wife;Neural;2,5;1-3 hours;4-6 hours;Single;Yes;Offen;yes;No;I don't have any extra curricular activities.;Neutral;Neutral;Never;Never;No;Never;Moderately Satisfied;Not at all Interfering;Not at all Noticeable;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
6th;22;5.6 feet;74;Male;Islam;Urban;Own House;Nuclear;2;Business;House Wife;Agree;2,6;1-3 hours;1-3 hours;Single;No;Offen;yes;No;yes;Dis-agree;Strongly-agree;Never;Never;No;Never;Dissatisfied;A little;Not at all Noticeable;Not at all;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
4th;22;"5'8""";70;Male;Islam;Urban;Rented House or Mess;Join or Extended;1;Others;House Wife;Strongly-agree;3,5;1-3 hours;4-6 hours;Single;No;Offen;No;yes;Hult Prize Organizing Committee, Campus Radio mainatain as a CEO;Dis-agree;Neutral;I have had a plan at least once to kill myself but did not try to do it;Sometimes (2 times);No;Rather Unlikely;Dissatisfied;Very Much Interfering;Much;Much;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time
6th;20;5 feet 10 inch;62 kg;Male;Islam;Urban;Rented House or Mess;Nuclear;1;Service Holder;Service Holder;Strongly-agree;3;4-6 hours;1-3 hours;Single;No;Offen;yes;yes;Learning new Technologies, Treading, Sports.;Agree;Agree;Never;Never;No;Never;Dissatisfied;Much;Much;Much;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time
4th;23;5.6ft;63;Male;Islam;Urban;Own House;Nuclear;3;Business;House Wife;Strongly-agree;3,2;1-3 hours;4-6 hours;Single;Yes;Offen;yes;yes;Tutions;Agree;Agree;Never;Never;No;Likely;Dissatisfied;A little;Much;Somewhat;Did not apply to me at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time
5th;23;5.4 feet;40;Male;Islam;Urban;Rented House or Mess;Nuclear;0;Others;House Wife;Agree;3,1;1-3 hours;1-3 hours;Single;No;Rarely;yes;yes;cricket,football, badminton ;Neutral;Neutral;Never;Never;No;Never;Satisfied;A little;Not at all Noticeable;Not at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
5th;22;5,8;55;Male;Islam;Urban;Own House;Nuclear;1;Business;House Wife;Agree;3,19;1-3 hours;4-6 hours;Single;Yes;Offen;yes;yes;singing;Neutral;Strongly-agree;Never;Never;No;Never;Moderately Satisfied;Much;Much;Much;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time
4th;21;5 feet 11 inch;84;Male;Islam;Urban;Own House;Nuclear;2;Others;Others;Agree;3,65;1-3 hours;1-3 hours;Single;No;Regularly;No;yes;Gym;Dis-agree;Strongly-agree;Never;Never;No;Never;Very Satisfied;Not at all Interfering;Not at all Noticeable;Not at all;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time
5th;23;5,3;47;Female;Islam;Urban;Rented House or Mess;Nuclear;1;Others;House Wife;Strongly-agree;3,56;1-3 hours;4-6 hours;Single;No;Offen;yes;yes;Dance;Neutral;Agree;I have had a plan at least once to kill myself and really wanted to die;Sometimes (2 times);Yes, more than once, but did not want to do it;Rather Unlikely;Dissatisfied;Somewhat;Somewhat;Much;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
13;26;5 feet 6 inches;60 kg;Male;Islam;Rural;Own House;Nuclear;2;Business;House Wife;Agree;2,93;1-3 hours;1-3 hours;Single;No;Offen;No;No;Nothing ;Strongly_disagree;Strongly-disagree;Never;Rarely (1 time);No;Never;Dissatisfied;Much;Barely;Very Much;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time
5th;22;5,8;60;Male;Islam;Rural;Rented House or Mess;Nuclear;1;Others;House Wife;Agree;3;1-3 hours;1-3 hours;Single;No;Offen;yes;yes;photography, debating ;Neutral;Neutral;Never;Never;No;Never;Satisfied;A little;Barely;Barely;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
4th;21;5 feet 8 inch;65 Kg;Male;Islam;Urban;Rented House or Mess;Nuclear;2;Others;House Wife;Agree;3,26;1-3 hours;4-6 hours;Single;No;Rarely;yes;No;Nothing;Neutral;Agree;Never;Rarely (1 time);Yes, at one time, but did not really want to die;Rather Unlikely;Satisfied;Not at all Interfering;Much;Not at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
5th;21;5'3;60;Female;Islam;Urban;Own House;Nuclear;3;Business;House Wife;Strongly-agree;3,05;1-3 hours;1-3 hours;Single;No;Regularly;yes;No;no;Neutral;Agree;Never;Rarely (1 time);No;No chance at all;Dissatisfied;A little;Not at all Noticeable;Barely;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time
4th;21;"5'8""";63;Male;Islam;Rural;Rented House or Mess;Nuclear;3;Farmer;House Wife;Strongly-agree;3,61;1-3 hours;1-3 hours;Single;No;Offen;yes;yes;That are problem solving in some websites and watching YouTube for learning programming ;Neutral;Neutral;Never;Never;No;Never;Moderately Satisfied;Much;Somewhat;Much;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all
5th;22;5 feet 4 inch;77kg;Male;Islam;Urban;Own House;Nuclear;1;Service Holder;House Wife;Strongly-agree;2,95;1-3 hours;1-3 hours;Single;No;Offen;yes;No;no;Agree;Agree;Never;Never;No;Never;Moderately Satisfied;A little;Not at all Noticeable;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
14;24;5 feet 2 inches ;56;Female;Islam;Urban;Rented House or Mess;Nuclear;1;Business;House Wife;Agree;3,2;4-6 hours;4-6 hours;Married;No;Regularly;yes;No;Nothing;Agree;Neutral;Never;Never;No;Never;Moderately Satisfied;A little;Somewhat;Not at all;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time
5th;23;"5'6""";85;Female;Islam;Urban;Rented House or Mess;Nuclear;1;Others;House Wife;Agree;2,9;1-3 hours;1-3 hours;Single;No;Rarely;No;No;No;Strongly_disagree;Agree;Never;Never;No;Never;Satisfied;A little;Very Much Noticeable;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all
5th;23;"5'8""";50;Male;Islam;Rural;Rented House or Mess;Nuclear;2;Business;House Wife;Strongly-agree;Yes;4-6 hours;1-3 hours;Single;No;Regularly;yes;yes;Singing;Agree;Strongly-agree;Never;Never;No;Never;Satisfied;A little;Not at all Noticeable;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
4th;22;"5'6""";56kg;Female;Islam;Rural;Rented House or Mess;Join or Extended;2;Service Holder;House Wife;Strongly-agree;2,85;1-3 hours;4-6 hours;Single;No;Regularly;yes;No;I think my subject related job gets enough social value in our country ;Agree;Agree;Never;Never;No;Never;Dissatisfied;A little;Not at all Noticeable;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
8th;23;5ft 3;53;Female;Islam;Urban;Rented House or Mess;Nuclear;2;Business;House Wife;Strongly-agree;2,8;1-3 hours;1-3 hours;Married;No;Offen;No;No;no;Agree;Agree;Never;Never;No;Never;Satisfied;A little;Barely;Not at all;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time
5th;23;5feet 8inch;80;Male;Islam;Urban;Rented House or Mess;Join or Extended;2;Others;House Wife;Agree;3;1-3 hours;4-6 hours;Single;No;Rarely;yes;yes;Playing Basketball , Volunteer ;Agree;Agree;Never;Never;No;Never;Dissatisfied;Much;Much;Much;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
7th;21;5 feet 6 inch;50;Male;Islam;Rural;Rented House or Mess;Nuclear;2;Others;House Wife;Neural;2,75;1-3 hours;1-3 hours;Single;Yes;Offen;No;yes;Bug Bounty and Trading;Dis-agree;Agree;I have had a plan at least once to kill myself and really wanted to die;Sometimes (2 times);No;Unlikely;Dissatisfied;Much;Much;Barely;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time
5th;24;5feet;44;Female;Islam;Rural;Rented House or Mess;Join or Extended;4;Business;House Wife;Strongly-agree;2,76;1-3 hours;1-3 hours;Single;No;Regularly;yes;No;Nothing;Neutral;Neutral;Never;Never;No;Never;Moderately Satisfied;A little;Not at all Noticeable;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time
4th;20;5,7;184;Male;Islam;Rural;Own House;Nuclear;2;Business;House Wife;Agree;3,5;1-3 hours;1-3 hours;Single;No;Offen;yes;No;No;Agree;Agree;It was just a brief passing thought;Rarely (1 time);No;Never;Satisfied;A little;Barely;Barely;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time
